%Dataset Ejemplo KNN Visión Por Computador.
@RELATION Rostros

@ATTRIBUTE AngularSecond		REAL
@ATTRIBUTE Contrast				REAL
@ATTRIBUTE Correlacion			REAL
@ATTRIBUTE SumOfSquares			REAL
@ATTRIBUTE InverseDifference	REAL
@ATTRIBUTE SumAverage			REAL
@ATTRIBUTE SumEntropy			REAL
@ATTRIBUTE SumVariance			REAL
@ATTRIBUTE Entropy				REAL
@ATTRIBUTE DifferenceVariance	REAL
@ATTRIBUTE DifferenceEntropy	REAL
@ATTRIBUTE InfoMCorrelation1	REAL
@ATTRIBUTE InfoMCorrelation2    REAL
@ATTRIBUTE MCCoefficient		REAL
@ATTRIBUTE Class 	{Alessandra-A,Jessica-A,Megan-F}

@DATA
67810.625,0,157914.5177,4000161.5,2605.619032,0,0,0,-14808.15368,0,0,-1.795827779,0,0,Alessandra-A
104131.75,154,139516.9499,6918680.5,3066.611372,282,792.9656908,-22.2158996,-15253.47512,4.714285714,-31.10796466,-1.791131615,0,0.016907,Alessandra-A
121726.875,37.75,102118.2469,2866884.75,3400.884978,207.25,408.6026928,-13.65103002,-19645.97171,4.713169643,-19.15041092,-1.73380203,0,0.000983604,Alessandra-A
58851.5,2,241015.9868,3414935.25,2932.625602,6,5.826713205,0.34657359,-13751.75246,0.03125,0.34657359,-1.806302808,0,0,Alessandra-A
66529,20,142071.946,3112334,2690.768594,167,266.9793097,-8.331609145,-15106.19255,4.589285714,-15.72730594,-1.789830257,0,0.04095772,Alessandra-A
58978.875,12,227553.2545,5435583,2378.303497,26.5,20.78153576,2.079441542,-11516.5483,0.213169643,0.629979296,-1.837485834,0,0.040898521,Alessandra-A
63088.25,2865.25,137607.1979,3909045.5,2537.385405,4096.25,1040312.856,-1974.686244,-13728.49671,3328.106027,-2390.359544,-1.808086624,0,0.035285733,Alessandra-A
81632.375,117,160000.905,4205605,2940.838149,1245.5,23214.73555,-244.1026173,-15431.99963,285.3571429,-306.5183053,-1.785462916,0,0.120950513,Alessandra-A
157214.875,0,79472.80543,3118749.75,3495.425792,0,0,0,-23041.08026,0,0,-1.69667926,0,0,Alessandra-A
133779.875,1380.75,308130.3975,4170131.5,3755.878295,2277.25,432723.0909,-1221.989612,-15846.78257,2391.472098,-1518.023027,-1.772500404,0,0.156053232,Alessandra-A
137058.125,1666.5,205737.7226,2455225,3864.046644,5776.5,2922562.242,-3555.971646,-18417.48372,21384.91853,-4464.247439,-1.739566142,0,0.349812837,Alessandra-A
95010.125,0,113982.3547,2574214.25,3003.355597,0,0,0,-17740.68923,0,0,-1.759383429,0,0,Alessandra-A
144224,267.25,72917.46202,6005769.25,3449.650987,299.25,1244.956598,-29.78603459,-22806.20573,7.472098214,-50.49273297,-1.700925773,0,0.01354048,Alessandra-A
121063.875,756.5,75678.55153,1249942.5,3891.416906,2195,223104.9242,-832.8366604,-23396.85384,1621.641741,-1101.163438,-1.685030747,0,0.154782403,Alessandra-A
